Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
Become a Data Scientist,"Whether you're working in IT or simply have an interest in entering the exciting field, this learning path will support you in developing a career in data science. Learn about the fundamental stages of data science work, from Statistics and Systems Engineering to Data Mining and Machine Learning.",Learning Path,2019-04-30 18:51 UTC,N/A,false,N/A,
Becoming a Six Sigma Green Belt,"Six Sigma Green Belts are devoted to process improvement for their teams. Help your team increase efficiency, decrease defects and mistakes, find and remove obstacles, and improve overall quality output.",Learning Path,2019-04-28 20:10 UTC,N/A,false,N/A,
Diversity Recruiting,"<div><a href=""https://www.linkedin.com/newsletters/6729522998371586048?trk=lil-course-description"" target=""_blank"" class=""artdeco-button artdeco-button--1"">View Stacey's LinkedIn Newsletter</a></div><br>As a buzzword, ""diversity"" sounds good, but speaking frankly about age discrimination, gender bias, and hiring disparities can take many talent acquisition professionals out of their comfort zone. In this course, Stacey Gordon explains how to confidently approach the topic of bias and successfully address it when recruiting. She outlines the most common mistakes that recruiters make as well as ways to assess your current recruiting strategy to achieve success.",Course,2020-12-23 12:45 UTC,N/A,false,N/A,
Becoming a Product Manager: A Complete Guide,"What does a product manager actually do? What kind of product manager roles are out there, and how do they differ from project management? In this course, get answers to those questions—and more—as you learn about the different tools and techniques needed to successfully coordinate all aspects of product development. Instructors Cole Mercer and Evan Kimbrell go over the major phases of the product lifecycle and discuss how approaches like agile, scrum, and kanban actually work in real-world situations. Plus, learn how to address real user needs, approach customer development, run MVP experiments, sketch out mobile apps, work with your stakeholders, and much more.",Course,2021-02-25 06:25 UTC,N/A,false,N/A,
Recruiting Talent with Social Media,"Social media is changing the way recruiters source talent. In this course, social recruiting expert Bert Verdonck shows how to leverage the top social media platforms—LinkedIn, Twitter, and Facebook—to find and attract top talent. Learn how to find qualified candidates, make a compelling company profile, and write articles, posts, and tweets that attract talent. Plus, find out how to post job openings on LinkedIn and Facebook, and get time-saving tools and techniques that will help you spend more time on people and less time on tech.",Course,2020-04-17 03:19 UTC,N/A,false,N/A,
SOLIDWORKS: Modeling a Bicycle,"Cycling is more popular than ever, and many people are opting to build their own frames. Whether you love bikes and you want to build your own frame, or if you just want to practice your own SOLIDWORKS skills in a fun and practical way, join design engineer and avid cyclist Johno Ellison as he shows how to create a rigid bike frame based on real-life frame geometry. He shows how to create the frame, identify off-the-shelf parts such as handlebars, combine them into an assembly, and prepare drawings for the final product. Throughout the course, Johno shows some of the more practical aspects of bike building, as well as how they relate to SOLIDWORKS and CAD in general, giving you a great way to apply your modeling skills.",Course,2021-10-15 05:35 UTC,N/A,false,N/A,
Agile at Work: Planning with Agile User Stories,"Agile project teams create short user stories as a way to plan out the work for upcoming sprints. In this course, agile expert Doug Rose shows how to write these user stories and prioritize them in the product backlog. He also shows how to avoid the most common pitfalls with agile project planning.",Course,2021-05-29 03:21 UTC,N/A,false,N/A,
8 Things You Must Know in Python,"There are many beginner Python tutorials, but to build useful applications, you need to move beyond the basics. This course helps you on the journey to writing intermediate-level Python code. Instructor Jonathan Fernandes presents eight things that you should know how to do in Python. Topics include the Python any() and all() methods, using enumerate() and zip() methods, min() and max(), and more. For each topic, Jonathan provides a hands-on approach and then gives you a challenge (with solutions) to practice.
<br><br>
Note: This course was created by Jonathan Fernandes. We are pleased to host this training in our library.",Course,2021-09-09 17:01 UTC,N/A,false,N/A,
Learning Power BI Desktop (2020),"Power BI Desktop—the powerful data analysis and visualization software from Microsoft—can help you get more insights from your data, whether that data is stored on your computer or in the cloud. In this course, discover how to leverage this easy-to-use tool to more efficiently model and visualize data. Learn how to connect various data sources, including Excel, databases, and web data sources like Wikipedia. Explore how to search and transform your data using the built-in Query Editor. Plus, instructor Gini von Courter shows how to build and arrange visualizations, create interactive reports, share your work, manage your published files in the Power BI service, and more.",Course,2021-06-01 08:29 UTC,N/A,false,N/A,
Tableau Essential Training (2020.1),"Tableau is a widely used data analytics and visualization tool that many consider indispensable for data-science-related work. Its drag-and-drop interface makes it easy to sort, compare, and analyze data from multiple sources, including Excel, SQL Server, and cloud-based data repositories. In this course, learn what you need to know to analyze and display data using Tableau 2020—and make better, more data-driven decisions for your company. Discover how to install Tableau, connect to data sources, and sort and filter your data. Instructor Curt Frye also demonstrates how to create and manipulate data visualizations—including highlight tables, charts, scatter plots, histograms, maps, and dashboards—and shows how to share your visualizations. Along the way, he highlights the new features packed into this edition of the software, including Viz Animations, which allows you to visually follow the movement of marks in a data visualization to see and understand your changing data.",Course,2021-05-14 10:56 UTC,N/A,false,N/A,
Creating Great First Impressions,"First impressions matter. Whether you're walking into a meeting, interview, or negotiation, you need to know how to instantly build rapport. Luckily, the ability to make a lasting first impression isn't an innate skill; there's actually a science to it. In this course, Vanessa Van Edwards—lead investigator at Science of People, a human behavior research lab—shares research-backed strategies that can help you make the first few seconds of any interaction count. Vanessa dives into the body language that is essential to an engaging first impression, the vocal cues that help you sound confident both in person and on the phone, and the best opening lines for sparking a great conversation. Plus, get tips for changing dull small talk into a lively and memorable conversation.",Course,2020-09-22 18:00 UTC,N/A,false,N/A,
Career Wellness Nano Tips with Shadé Zahrai,"Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds.<br><br>In this course, get some quick tips on how to better manage your work life and career. Check out some practical advice on workload prioritization, emotional self-regulation, and managing overwhelming work experiences. Also learn how to bring empathy to work, receive feedback with confidence, and even find out the real reason behind procrastination.",Course,2022-06-17 02:00 UTC,N/A,false,N/A,
AutoCAD: Working with Dimensions,"For designs to be precisely built and manufactured, technical drawings need to show dimensions indicating measured lengths and angles, and in some cases geometric tolerances must be specified. In this AutoCAD training course, author Scott Onstott shows you how to create linear, aligned, angular, radial, diameter, continued, baseline, ordinate, and tolerance dimensions so you can precisely annotate any design. Plus, learn how to edit dimension styles, create sub-styles, temporarily override styles, control dimensional associativity, fine-tune dimension text, label features with multileaders, and much more.",Course,2019-04-12 04:42 UTC,N/A,false,N/A,
SOLIDWORKS 2018 New Features,"Get up to speed quickly with SOLIDWORKS 2018 and unlock the benefits of the newest features. Gabriel Corbett focuses on the enhancements that are best for productivity and efficient design. He covers the new mouse gestures, the Welcome dialog, SOLIDWORKS CAM, mirrored 3D sketching, corner reliefs, top-level transparency, smart explode lines, and so much more. Find out how these new features and time-saving tools make it easy to create parts, assemblies, and 2D drawings and deliver best-in-class designs.",Course,2018-11-15 07:09 UTC,N/A,false,N/A,
Negotiation Skills,"<div><a href=""https://www.linkedin.com/newsletters/6775140114768125952?trk=lil-course-description"" target=""_blank"" class=""artdeco-button artdeco-button--1"">View Chris's LinkedIn Newsletter</a></div><br>Negotiation skills aren't just important for the sales professionals among us. With a little practice, anyone can learn the simple rules of negotiation to get a great deal on a new car or house, or achieve greater success at work by getting better deals with suppliers, customers, and even colleagues. In this course, master negotiator Chris Croft walks through all the phases of a negotiation, from deciding to negotiate to closing. Chris discusses how to plan your negotiation and calculate your opening offer. Plus, he takes you through a series of specific negotiation tactics, demonstrates how to come to a win-win situation through the use of trading, and goes into how to close the deal.",Course,2020-04-25 04:37 UTC,N/A,false,N/A,
Learning AutoCAD (2019),"Learn how to use AutoCAD 2020 to create precise 2D drawings for architecture, construction, manufacturing, and more. This beginner-level course covers the basics of the AutoCAD user interface as well as critical CAD drawing and design techniques. Autodesk Certified Instructor Shaun Bryant leads you step-by-step through drawing simple geometry, creating annotations, and building documentation that is suitable for sharing and printing. By the end of the course, you’ll have the foundational knowledge you need to create simple, annotated drawings and further develop your AutoCAD skills.",Course,2020-10-16 12:23 UTC,N/A,false,N/A,
Speaking Up At Work,"<div><a href=""https://www.linkedin.com/newsletters/6757919178872750080?trk=lil-course-description"" target=""_blank"" class=""artdeco-button artdeco-button--1"">View Jessica's LinkedIn Newsletter</a></div><br>Want to ensure that your best ideas are heard by the right people in your organization? Improve your ability to speak up at work. In this course, join communications and media expert Jessica Chen as she uncovers the common mental barriers that keep professionals from speaking up at work, as well as the steps you can take to actively build your authority. Jessica discusses how your childhood, cultural, and work experiences may have shaped your perception of good communication. She goes over how to ask the right questions and effectively tailor your message to suit your audience. Plus, she shares tips for showcasing your confidence, whether you're speaking to people on video or in person.",Course,2021-01-28 13:26 UTC,N/A,false,N/A,
Advanced Pandas,"If you've worked in Python, you're likely familiar with the basic of pandas. In this advanced course, instructor Brett Vanderblock shares how you can take advantage of the advanced functions of pandas—such as working with dates, dealing with missing data, merging DataFrames, and more—to work more effectively with your data. First, Brett introduces you to DataFrames, identifies the top functions in pandas, and shows you how to configure your pandas workspace efficiently. He walks you through converting data types, working with strings, and using the apply map and applymap functions effectively. He shows you how to combine Groupby and multiple aggregate functions in pandas and how to use the merge, join, and concat functions. Brett steps through plotting and statistical functions with pandas. He concludes by explaining how you can use pandas-profiling and Geopandas to get the most out of your functions and data.

<br><br>This course was created by <a href=""http://www.onlymadecraft.com"" target=""_blank"">Madecraft</a>. We are pleased to host this training in our library.<br><br><img src=""http://files3.lynda.com/files/course_description_images/MadeCraft-Description-Logo.jpg"" height=""20%"" width=""20%"">",Course,2021-07-22 03:44 UTC,N/A,false,N/A,
How to Make Strategic Thinking a Habit,"<div><a href=""https://www.linkedin.com/newsletters/6640647216497209344?trk=lil-course-description"" target=""_blank"" class=""artdeco-button artdeco-button--1"">View Dorie's LinkedIn Newsletter</a></div><br>Working hard is important—but what's really critical is making sure you're working on the right things. That's what strategic thinking enables you to do. In this course, Dorie Clark shares frameworks and strategies to help you make strategic thinking a daily habit, so that you can make the best use of your time, energy, and effort at work. Discover how to set yourself up for success by carving out time for strategic thinking and adjusting your routine to spark more strategic thoughts. Get tactics for thinking strategically about the tasks and decisions that lie ahead of you, as well as how to revisit past decisions to glean valuable insights. Learn how to change the way you approach your to-do list and examine the root cause of problems to devise better solutions. Plus, Dorie explains how to consistently ask yourself the right questions, so that you don't get off track.",Course,2020-12-08 14:13 UTC,N/A,false,N/A,
After Effects 2020 New Features,"After Effects 2020 is here. Want to know how this new version will impact your motion graphics workflow? This course covers the latest upgrade, focused around the new, more powerful Content-Aware Fill. Discover how to remove an object, create a reference frame, and remove a logo on a smooth surface with this intelligent editing tool. Instructor Mark Christiansen provides practical tips to help you get the most from this forward-looking update.",Course,2021-05-21 14:55 UTC,N/A,false,N/A,
Negotiating Your Job Offer,"Getting a job offer is a time to celebrate, but it's also important to stop and ask, ""What does my offer cover, and what can I negotiate?"" In this course, career coach Christine DiDonato helps professionals understand how to benchmark their job offers and make sure they are getting what they want. She explains how to answer key questions (such as  ""What is my current salary?""), understand what parts of an offer are negotiable, and prepare a counteroffer. She also addresses special situations, such as the importance of negotiating your first job offer, the challenges women often face in negotiations, and negotiating a new position within your current organization.",Course,2020-04-26 07:02 UTC,N/A,false,N/A,
Electric Bass Lessons: Advanced,"In this course, Billy Sheehan distills knowledge from thousands of gigs into a series of tips and techniques geared toward the advanced bass guitarist. To begin, Billy shares his advice regarding equipment setup. Next, he dives into bass techniques, going into the economy of motion for guitar playing, moving around the neck, and pinch harmonics. To wrap up, he provides a detailed look at his rack system, discussing his dual pickup system, bi-amping, and compression, as well as the back of the rack. He shares his expertise on compression, amps, strap length, and more, so you can try your hand at Billy's custom pickup and right-hand technique.",Course,2019-07-07 10:51 UTC,N/A,false,N/A,
