OrderNumber,OrderDate,Customer Name Index,Channel,Warehouse Code,Delivery Region Index,Product Description Index,Order Quantity,Unit Price,Total Revenue,Total Unit Cost
SO - 000101,01-01-2013,15,Distributor,NXH382,47,11,5,15.00,75.00,1001.18
SO - 000102,01-01-2013,20,Wholesale,GUT930,36,2,5,3939.60,19698.00,3348.66
SO - 000103,01-01-2013,16,Export,GUT930,39,11,10,1775.50,17755.00,781.22
SO - 000104,01-01-2013,48,Export,AXW291,20,7,6,2324.90,13949.40,1464.69
SO - 000105,01-01-2013,49,Wholesale,AXW291,20,7,6,1822.40,10934.40,1476.14
SO - 000106,02-01-2013,21,Wholesale,NXH382,52,5,6,1038.50,6231.00,446.56
SO - 000107,02-01-2013,14,Distributor,AXW291,1,1,10,1192.60,11926.00,536.67
SO - 000108,02-01-2013,9,Distributor,NXH382,51,1,10,1815.70,18157.00,1525.19
SO - 000109,03-01-2013,9,Wholesale,NXH382,54,6,7,3879.30,27155.10,2211.20
SO - 000110,03-01-2013,33,Wholesale,NXH382,47,1,6,1956.40,11738.40,1212.97
SO - 000111,03-01-2013,21,Export,AXW291,3,1,12,201.00,2412.00,124.62
SO - 000112,03-01-2013,21,Distributor,AXW291,28,11,8,6277.90,50223.20,2762.28
SO - 000113,03-01-2013,36,Export,NXH382,57,1,7,1051.90,7363.30,641.66
SO - 000114,03-01-2013,17,Export,NXH382,53,7,9,254.60,2291.40,216.41
SO - 000115,03-01-2013,32,Distributor,AXW291,25,11,5,3932.90,19664.50,3146.32
SO - 000116,03-01-2013,11,Wholesale,FLR025,64,6,10,1112.20,11122.00,700.69
SO - 000117,03-01-2013,10,Wholesale,NXH382,58,4,12,1239.50,14874.00,904.84
SO - 000118,03-01-2013,30,Export,AXW291,4,13,12,984.90,11818.80,393.96
SO - 000119,04-01-2013,5,Distributor,FLR025,63,1,5,5581.10,27905.50,4130.01
SO - 000120,04-01-2013,23,Wholesale,AXW291,25,7,8,3095.40,24763.20,1795.33
SO - 000121,04-01-2013,46,Export,GUT930,35,1,8,2278.00,18224.00,1754.06
SO - 000122,04-01-2013,14,Export,NXH382,51,2,12,991.60,11899.20,654.46
SO - 000123,04-01-2013,40,Distributor,AXW291,4,13,6,3979.80,23878.80,3064.45
SO - 000124,04-01-2013,19,Wholesale,GUT930,40,12,12,1969.80,23637.60,866.71
SO - 000125,04-01-2013,15,Wholesale,GUT930,31,8,12,268.00,3216.00,131.32
SO - 000126,04-01-2013,46,Wholesale,AXW291,20,7,11,174.20,1916.20,95.81
SO - 000127,04-01-2013,32,Distributor,GUT930,42,1,6,2988.20,17929.20,2510.09
SO - 000128,05-01-2013,32,Wholesale,GUT930,43,5,11,3999.90,43998.90,2679.93
SO - 000129,05-01-2013,22,Distributor,AXW291,18,11,10,5976.40,59764.00,2450.32
SO - 000130,05-01-2013,5,Wholesale,AXW291,19,5,6,2901.10,17406.60,2378.90
SO - 000131,05-01-2013,29,Distributor,NXH382,55,1,7,6076.90,42538.30,2734.61
SO - 000132,05-01-2013,35,Distributor,NXH382,55,5,6,5735.20,34411.20,4186.70
SO - 000133,05-01-2013,46,Export,GUT930,39,8,12,3919.50,47034.00,2077.34
SO - 000134,05-01-2013,42,Distributor,FLR025,66,13,8,6083.60,48668.80,3832.67
SO - 000135,06-01-2013,2,Wholesale,FLR025,61,13,5,2566.10,12830.50,1642.30
SO - 000136,06-01-2013,28,Wholesale,AXW291,15,5,10,2278.00,22780.00,1093.44
SO - 000137,06-01-2013,46,Wholesale,GUT930,46,11,7,261.30,1829.10,120.20
SO - 000138,06-01-2013,22,Wholesale,FLR025,65,7,9,998.30,8984.70,698.81
SO - 000139,06-01-2013,34,Wholesale,AXW291,17,2,6,3497.40,20984.40,1958.54
SO - 000140,06-01-2013,26,Wholesale,GUT930,36,5,9,1132.30,10190.70,486.89
SO - 000141,06-01-2013,26,Wholesale,AXW291,8,11,9,2405.30,21647.70,1587.50
SO - 000142,06-01-2013,24,Distributor,FLR025,66,1,7,5701.70,39911.90,3249.97
SO - 000143,07-01-2013,18,Distributor,GUT930,45,12,9,2452.20,22069.80,1446.80
SO - 000144,07-01-2013,21,Wholesale,AXW291,2,5,7,3095.40,21667.80,2012.01
SO - 000145,07-01-2013,14,Export,GUT930,38,11,9,3865.90,34793.10,2164.90
SO - 000146,08-01-2013,3,Distributor,AXW291,7,2,7,2304.80,16133.60,1382.88
SO - 000147,08-01-2013,13,Distributor,AXW291,7,13,10,3195.90,31959.00,1470.11
SO - 000148,08-01-2013,49,Wholesale,NXH382,53,2,10,6452.10,64521.00,5161.68
SO - 000149,08-01-2013,4,Export,AXW291,19,5,6,2003.30,12019.80,921.52
SO - 000150,08-01-2013,20,Wholesale,AXW291,4,5,5,3638.10,18190.50,1455.24
SO - 000151,09-01-2013,19,Export,AXW291,20,5,6,2278.00,13668.00,1822.40
SO - 000152,09-01-2013,25,Distributor,AXW291,26,13,12,924.60,11095.20,582.50
SO - 000153,09-01-2013,8,Wholesale,AXW291,20,7,11,3926.20,43188.20,3062.44
SO - 000154,09-01-2013,24,Export,FLR025,63,7,7,3825.70,26779.90,2257.16
SO - 000155,10-01-2013,13,Wholesale,FLR025,65,7,10,2257.90,22579.00,1377.32
SO - 000156,10-01-2013,32,Wholesale,AXW291,27,6,7,1112.20,7785.40,756.30
SO - 000157,10-01-2013,28,Wholesale,AXW291,19,3,5,3557.70,17788.50,1814.43
SO - 000158,10-01-2013,8,Distributor,AXW291,11,1,7,2371.80,16602.60,1233.34
SO - 000159,11-01-2013,47,Wholesale,AXW291,11,2,12,857.60,10291.20,686.08
SO - 000160,12-01-2013,33,Wholesale,GUT930,43,5,11,3892.70,42819.70,2880.60
SO - 000161,12-01-2013,26,Distributor,AXW291,28,7,8,3477.30,27818.40,1390.92
SO - 000162,12-01-2013,20,Distributor,AXW291,28,7,6,3738.60,22431.60,2803.95
SO - 000163,13-01-2013,6,Wholesale,NXH382,48,7,8,1072.00,8576.00,589.60
SO - 000164,13-01-2013,40,Wholesale,AXW291,22,9,12,2257.90,27094.80,1761.16
SO - 000165,13-01-2013,23,Distributor,GUT930,42,7,5,1058.60,5293.00,751.61
SO - 000166,13-01-2013,38,Wholesale,AXW291,14,9,10,2492.40,24924.00,1296.05
SO - 000167,13-01-2013,30,Wholesale,AXW291,13,2,6,3852.50,23115.00,2465.60
SO - 000168,13-01-2013,42,Wholesale,GUT930,39,1,11,241.20,2653.20,132.66
SO - 000169,14-01-2013,1,Distributor,AXW291,6,13,5,1051.90,5259.50,494.39
SO - 000170,14-01-2013,11,Distributor,AXW291,31,5,8,227.80,1822.40,107.07
SO - 000171,14-01-2013,4,Wholesale,FLR025,60,7,9,1078.70,9708.30,506.99
SO - 000172,15-01-2013,6,Wholesale,AXW291,18,7,6,1005.00,6030.00,743.70
SO - 000173,15-01-2013,17,Distributor,NXH382,52,7,6,2485.70,14914.20,1317.42
SO - 000174,15-01-2013,7,Distributor,AXW291,26,11,10,2659.90,26599.00,2154.52
SO - 000175,16-01-2013,1,Wholesale,AXW291,20,7,11,2224.40,24468.40,1579.32
SO - 000176,16-01-2013,27,Wholesale,FLR025,61,11,8,2472.30,19778.40,1260.87
SO - 000177,16-01-2013,33,Wholesale,GUT930,42,7,7,1011.70,7081.90,799.24
SO - 000178,16-01-2013,28,Wholesale,GUT930,42,11,6,234.50,1407.00,128.98
